Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Kentavious Caldwell-Pope,29,75,2352,11.3,0.594,0.502,0.2,1.8,8.3,5.1,9.8,2.3,1.2,11.2,14.1,,1.9,2.4,4.3,0.088,,-1.7,0.6,-1.1,0.5
2,Nikola Jokić,27,68,2296,31.7,0.702,0.146,0.406,8.6,31.3,20.3,46.5,1.8,1.8,16.9,27.3,,11.2,3.6,14.8,0.31,,8.6,4.5,13.1,8.8
3,Bruce Brown,26,79,2248,13.1,0.572,0.349,0.204,3.3,12.9,8.3,15.5,1.8,2,13.5,17.7,,1.6,2.5,4.1,0.088,,-1.1,0.5,-0.7,0.7
4,Jamal Murray,25,64,2105,17.9,0.569,0.411,0.208,2.6,11,6.9,27.4,1.5,0.6,11.2,26.1,,3.2,1.8,5,0.114,,2.6,-1.3,1.2,1.7
5,Aaron Gordon,27,67,2027,19.5,0.616,0.228,0.414,9.5,15.5,12.6,14.2,1.3,2.2,9.9,21.2,,4.5,2.1,6.6,0.157,,2.4,-0.3,2.1,2.1
6,Michael Porter Jr.,24,61,1778,16.8,0.622,0.554,0.149,4.2,17.3,10.9,5.2,1,1.4,7.3,22.6,,2.6,1.7,4.3,0.116,,2,-1.8,0.2,1
7,Christian Braun,21,74,1133,10,0.566,0.338,0.21,4.8,12.6,8.8,6.5,1.6,1.3,10,12.7,,0.7,1.1,1.8,0.077,,-2.5,0.1,-2.5,-0.1
8,Jeff Green,36,55,1079,11.1,0.578,0.317,0.354,4.1,11,7.6,8.3,0.8,1.3,10.7,17,,0.9,0.8,1.7,0.074,,-2.3,-1.1,-3.4,-0.4
9,Vlatko Čančar,25,58,855,11,0.61,0.509,0.156,3.2,13.3,8.4,11.5,1.1,1.5,13.1,13.6,,0.9,0.8,1.7,0.093,,-1.7,-0.2,-1.9,0
10,Bones Hyland,22,42,820,14.5,0.54,0.555,0.189,1.4,10.4,6,21.9,1.7,1.4,12.5,28.5,,0.1,0.8,0.9,0.05,,0.6,-1.4,-0.8,0.3
11,Zeke Nnaji,22,51,690,12.9,0.637,0.305,0.328,10.6,10.7,10.7,3.3,1.1,2.8,11.4,14.4,,1,0.7,1.7,0.118,,-2.4,-0.9,-3.3,-0.2
12,DeAndre Jordan,34,38,559,14.9,0.73,0.009,0.411,10.4,29.1,20,7.6,1,3.6,25.4,13.8,,0.5,0.8,1.3,0.113,,-2.3,0.6,-1.7,0
13,Ish Smith,34,41,368,6.7,0.413,0.073,0.032,1.3,14.3,8,32.1,0.9,1.7,24.6,19.7,,-0.8,0.3,-0.4,-0.057,,-5.5,-1.1,-6.6,-0.4
14,Davon Reed,27,35,315,5.3,0.456,0.55,0.25,3.4,16.4,10.1,7.3,2,1.1,18.4,15,,-0.4,0.4,-0.1,-0.01,,-5.8,-0.4,-6.2,-0.3
15,Reggie Jackson,32,14,272,8.3,0.472,0.514,0.114,1.3,7.4,4.4,20.7,1.4,0.3,13.4,20.4,,-0.2,0.2,0,0.002,,-4.2,-1.5,-5.6,-0.3
16,Thomas Bryant,25,17,184,10.6,0.523,0.1,0.3,11.6,20.8,16.3,1.4,0.5,2.9,12.8,18.4,,0,0.2,0.2,0.045,,-5.6,-2.6,-8.2,-0.3
17,Peyton Watson,20,21,143,11.6,0.553,0.25,0.125,5,18.9,12.1,6.6,0.3,4.3,10.6,17.2,,0,0.2,0.2,0.054,,-3,-0.7,-3.7,-0.1
18,Jack White,25,16,51,12.6,0.548,0.5,0.188,7,13.2,10.2,7.7,1.9,3.5,5.5,15.6,,0.1,0.1,0.1,0.116,,-2.2,0.4,-1.8,0
