Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Kentavious Caldwell-Pope,29,75,75,2352,5.9,12.9,0.46,2.7,6.5,0.415,3.2,6.4,0.505,2.1,2.6,0.823,0.7,3.6,4.3,3.7,2.3,0.7,1.8,3,16.7,,116,115
2,Nikola Joki?,27,68,68,2296,13.7,21.7,0.633,1.2,3.2,0.385,12.5,18.5,0.675,7.2,8.8,0.821,3.6,13.6,17.2,14.2,1.8,1,5.2,3.7,35.9,,135,110
3,Bruce Brown,26,79,30,2248,7.6,15.8,0.482,2,5.5,0.36,5.6,10.3,0.548,2.5,3.2,0.764,1.4,5.6,7,5.7,1.8,1.1,2.7,4.1,19.6,,113,114
4,Jamal Murray,25,64,64,2105,10.8,23.9,0.453,3.9,9.8,0.398,6.9,14.1,0.492,4.1,5,0.832,1.1,4.8,5.9,9.2,1.5,0.3,3.3,2.3,29.7,,116,116
5,Aaron Gordon,27,67,67,2027,10.2,18.1,0.563,1.4,4.1,0.345,8.8,14,0.628,4.6,7.5,0.608,3.9,6.7,10.7,4.9,1.3,1.2,2.4,3.1,26.4,,124,115
6,Michael Porter Jr.,24,61,61,1778,10.8,22.1,0.488,5.1,12.3,0.416,5.7,9.9,0.578,2.6,3.3,0.8,1.7,7.5,9.3,1.7,1,0.8,1.8,3.2,29.3,,118,115
7,Christian Braun,21,74,5,1133,5.8,11.8,0.493,1.5,4,0.37,4.3,7.8,0.556,1.5,2.5,0.596,2,5.5,7.5,2.5,1.6,0.7,1.4,4.2,14.5,,114,115
8,Jeff Green,36,55,4,1079,7.2,14.7,0.489,1.4,4.7,0.291,5.9,10.1,0.581,3.9,5.2,0.748,1.7,4.8,6.5,3.1,0.8,0.7,2,4.4,19.7,,114,117
9,Vlatko ?an?ar,25,58,8,855,6,12.5,0.482,2.4,6.4,0.378,3.6,6.1,0.589,1.8,1.9,0.941,1.3,5.8,7.1,4.4,1.1,0.8,2,4.7,16.3,,119,116
10,Bones Hyland,22,42,1,820,10.3,25.9,0.399,5.4,14.4,0.378,4.9,11.5,0.425,4.2,4.9,0.866,0.6,4.5,5.1,7.5,1.7,0.8,4,3.9,30.3,,106,116
11,Zeke Nnaji,22,51,5,690,7.2,12.6,0.576,1.1,3.8,0.278,6.2,8.7,0.707,2.8,4.1,0.672,4.4,4.7,9.1,1.2,1.1,1.6,1.8,7.1,18.3,,124,116
12,DeAndre Jordan,34,38,7,559,7.5,9.8,0.768,0.1,0.1,1,7.4,9.7,0.766,1.8,4,0.435,4.3,12.7,17,2.8,1,2,3.9,6,16.9,,116,111
13,Ish Smith,34,41,0,368,6.7,16.5,0.403,0.3,1.2,0.222,6.4,15.3,0.417,0.3,0.5,0.5,0.5,6.3,6.8,12.1,0.9,0.9,5.5,4.1,13.8,,89,116
14,Davon Reed,27,35,1,315,3.9,12.4,0.313,2.5,6.8,0.364,1.4,5.6,0.25,2.3,3.1,0.75,1.4,7.1,8.5,3,2,0.6,3.1,5.6,12.6,,89,113
15,Reggie Jackson,32,14,2,272,7,18.9,0.371,2.9,9.7,0.296,4.1,9.2,0.451,1.8,2.2,0.833,0.5,3.2,3.8,7.7,1.4,0.2,3.1,3.8,18.7,,100,118
16,Thomas Bryant,25,17,1,184,7.4,16,0.467,0.5,1.6,0.333,6.9,14.4,0.481,3.5,4.8,0.722,4.8,9,13.8,0.5,0.5,1.6,2.7,6.4,18.9,,104,114
17,Peyton Watson,20,21,1,143,8.2,16.4,0.5,2.1,4.1,0.5,6.2,12.3,0.5,0.7,2.1,0.333,2.1,8.2,10.3,2.4,0.3,2.4,2.1,4.1,19.2,,106,114
18,Jack White,25,16,0,51,6.7,15.4,0.438,2.9,7.7,0.375,3.8,7.7,0.5,1.9,2.9,0.667,2.9,5.8,8.6,2.9,1.9,1.9,1,7.7,18.2,,119,113
