Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kentavious Caldwell-Pope,29,75,75,2352,4.4,9.5,0.46,2,4.8,0.415,2.4,4.7,0.505,1.6,1.9,0.823,0.5,2.6,3.2,2.8,1.7,0.5,1.3,2.2,12.3
2,Nikola Joki?,27,68,68,2296,10.1,15.9,0.633,0.9,2.3,0.385,9.2,13.6,0.675,5.3,6.5,0.821,2.6,10,12.7,10.5,1.3,0.7,3.8,2.7,26.4
3,Bruce Brown,26,79,30,2248,5.6,11.6,0.482,1.5,4.1,0.36,4.1,7.5,0.548,1.8,2.4,0.764,1,4.1,5.2,4.2,1.3,0.8,2,3,14.4
4,Jamal Murray,25,64,64,2105,8,17.6,0.453,2.9,7.2,0.398,5.1,10.4,0.492,3,3.7,0.832,0.8,3.5,4.3,6.8,1.1,0.3,2.4,1.7,21.9
5,Aaron Gordon,27,67,67,2027,7.5,13.3,0.563,1,3,0.345,6.5,10.3,0.628,3.4,5.5,0.608,2.9,5,7.9,3.6,1,0.9,1.7,2.3,19.4
6,Michael Porter Jr.,24,61,61,1778,7.9,16.3,0.488,3.7,9,0.416,4.2,7.2,0.578,1.9,2.4,0.8,1.3,5.5,6.8,1.3,0.7,0.6,1.4,2.4,21.6
7,Christian Braun,21,74,5,1133,4.3,8.6,0.493,1.1,2.9,0.37,3.2,5.7,0.556,1.1,1.8,0.596,1.5,4,5.5,1.8,1.2,0.5,1,3.1,10.7
8,Jeff Green,36,55,4,1079,5.3,10.8,0.489,1,3.4,0.291,4.3,7.4,0.581,2.9,3.8,0.748,1.2,3.5,4.8,2.3,0.6,0.5,1.5,3.3,14.5
9,Vlatko ?an?ar,25,58,8,855,4.4,9.2,0.482,1.8,4.7,0.378,2.7,4.5,0.589,1.3,1.4,0.941,1,4.3,5.2,3.2,0.8,0.6,1.5,3.5,12
10,Bones Hyland,22,42,1,820,7.6,19.1,0.399,4,10.6,0.378,3.6,8.5,0.425,3.1,3.6,0.866,0.4,3.3,3.8,5.5,1.2,0.6,2.9,2.9,22.3
11,Zeke Nnaji,22,51,5,690,5.3,9.2,0.576,0.8,2.8,0.278,4.5,6.4,0.707,2,3,0.672,3.2,3.4,6.7,0.9,0.8,1.1,1.4,5.2,13.5
12,DeAndre Jordan,34,38,7,559,5.5,7.2,0.768,0.1,0.1,1,5.5,7.1,0.766,1.3,3,0.435,3.2,9.3,12.5,2.1,0.7,1.5,2.9,4.4,12.4
13,Ish Smith,34,41,0,368,4.9,12.1,0.403,0.2,0.9,0.222,4.7,11.3,0.417,0.2,0.4,0.5,0.4,4.6,5,8.9,0.7,0.7,4,3,10.2
14,Davon Reed,27,35,1,315,2.9,9.1,0.313,1.8,5,0.364,1,4.1,0.25,1.7,2.3,0.75,1,5.3,6.3,2.2,1.5,0.5,2.3,4.1,9.3
15,Reggie Jackson,32,14,2,272,5.2,13.9,0.371,2.1,7.1,0.296,3,6.8,0.451,1.3,1.6,0.833,0.4,2.4,2.8,5.7,1.1,0.1,2.3,2.8,13.8
16,Thomas Bryant,25,17,1,184,5.5,11.7,0.467,0.4,1.2,0.333,5.1,10.6,0.481,2.5,3.5,0.722,3.5,6.7,10.2,0.4,0.4,1.2,2,4.7,13.9
17,Peyton Watson,20,21,1,143,6,12.1,0.5,1.5,3,0.5,4.5,9.1,0.5,0.5,1.5,0.333,1.5,6,7.6,1.8,0.3,1.8,1.5,3,14.1
18,Jack White,25,16,0,51,4.9,11.3,0.438,2.1,5.6,0.375,2.8,5.6,0.5,1.4,2.1,0.667,2.1,4.2,6.4,2.1,1.4,1.4,0.7,5.6,13.4
